iter	Passed	Remaining
405	6060	8867
406	6073	8849
407	6086	8830
408	6098	8812
409	6111	8795
410	6126	8779
411	6138	8760
412	6151	8742
413	6165	8726
414	6178	8709
415	6191	8691
416	6204	8674
417	6217	8656
418	6230	8638
419	6242	8620
420	6257	8605
421	6269	8587
422	6282	8570
423	6303	8563
424	6318	8548
425	6332	8533
426	6345	8515
427	6358	8498
428	6372	8481
429	6385	8463
430	6397	8446
431	6410	8428
432	6424	8413
433	6438	8396
434	6451	8378
435	6464	8361
436	6477	8344
437	6490	8327
438	6504	8311
439	6516	8294
440	6529	8277
441	6542	8259
442	6554	8241
443	6568	8224
444	6580	8207
445	6593	8190
446	6606	8172
447	6619	8156
448	6633	8139
449	6645	8122
450	6658	8105
451	6671	8087
452	6684	8071
453	6696	8053
454	6709	8036
455	6721	8018
456	6734	8001
457	6748	7985
458	6760	7968
459	6772	7950
460	6783	7931
461	6796	7914
462	6808	7897
463	6820	7879
464	6841	7870
465	6858	7859
466	6871	7842
467	6884	7825
468	6897	7808
469	6908	7790
470	6920	7772
471	6933	7756
472	6945	7738
473	6958	7721
474	6970	7704
475	6985	7689
476	6999	7674
477	7012	7657
478	7025	7641
479	7039	7625
480	7052	7609
481	7070	7598
482	7083	7581
483	7096	7565
484	7110	7549
485	7121	7532
486	7135	7516
487	7149	7500
488	7165	7488
489	7181	7475
490	7194	7458
491	7208	7442
492	7221	7426
493	7234	7410
494	7252	7398
495	7268	7385
496	7280	7368
497	7293	7351
498	7306	7336
499	7320	7320
500	7333	7303
501	7344	7285
502	7358	7270
503	7369	7252
504	7382	7235
505	7394	7219
506	7410	7206
507	7422	7188
508	7434	7171
509	7448	7156
510	7461	7139
511	7475	7125
512	7488	7109
513	7499	7091
514	7512	7075
515	7526	7059
516	7540	7044
517	7553	7028
518	7566	7012
519	7580	6997
520	7593	6981
521	7607	6966
522	7621	6951
523	7633	6934
524	7646	6917
525	7663	6905
526	7678	6891
527	7691	6875
528	7705	6860
529	7718	6845
530	7732	6829
531	7747	6815
532	7761	6800
533	7787	6796
534	7803	6782
535	7821	6770
536	7834	6755
537	7847	6738
538	7861	6723
539	7875	6709
540	7891	6695
541	7905	6680
542	7919	6664
543	7934	6650
544	7947	6634
545	7960	6619
546	7973	6603
547	7987	6588
548	8002	6574
549	8016	6558
550	8030	6543
551	8044	6528
552	8056	6512
553	8077	6502
554	8091	6487
555	8104	6472
556	8119	6457
557	8132	6442
558	8146	6426
559	8159	6411
560	8172	6395
561	8186	6379
562	8200	6365
563	8215	6350
564	8228	6335
565	8242	6319
566	8255	6304
567	8268	6288
568	8281	6272
569	8294	6256
570	8306	6241
571	8318	6224
572	8331	6208
573	8344	6193
574	8358	6177
575	8371	6162
576	8383	6146
577	8397	6130
578	8410	6115
579	8423	6099
580	8436	6083
581	8448	6068
582	8462	6052
583	8475	6037
584	8489	6022
585	8503	6007
586	8515	5991
587	8529	5976
588	8543	5961
589	8556	5945
590	8569	5930
591	8581	5914
592	8595	5899
593	8608	5884
594	8623	5869
595	8638	5855
596	8652	5840
597	8664	5824
598	8678	5810
599	8692	5794
600	8705	5779
601	8720	5765
602	8734	5750
603	8749	5736
604	8761	5720
605	8775	5705
606	8789	5690
607	8803	5675
608	8817	5661
609	8831	5646
610	8845	5631
611	8862	5618
612	8878	5605
613	8917	5606
614	8932	5592
615	8950	5579
616	8965	5565
617	8980	5550
618	8993	5535
619	9008	5521
620	9022	5506
621	9037	5491
622	9050	5476
623	9064	5461
624	9078	5447
625	9091	5431
626	9104	5416
627	9118	5401
628	9132	5386
629	9146	5371
630	9160	5357
631	9173	5341
632	9187	5326
633	9200	5311
634	9214	5296
635	9226	5280
636	9239	5265
637	9252	5249
638	9265	5234
639	9278	5219
640	9296	5206
641	9310	5191
642	9323	5176
643	9336	5161
644	9349	5146
645	9362	5130
646	9376	5115
647	9390	5100
648	9403	5085
649	9416	5070
650	9429	5055
651	9445	5041
652	9458	5026
653	9470	5010
654	9485	4996
655	9499	4981
656	9512	4966
657	9524	4950
658	9538	4935
659	9549	4919
660	9564	4905
661	9577	4889
662	9590	4874
663	9605	4860
664	9617	4844
665	9629	4829
666	9642	4813
667	9655	4799
668	9669	4784
669	9682	4769
670	9696	4754
671	9711	4739
672	9724	4725
673	9736	4709
674	9749	4694
675	9764	4679
676	9778	4665
677	9791	4650
678	9805	4635
679	9819	4620
680	9832	4605
681	9852	4593
682	9864	4578
683	9878	4563
684	9893	4549
685	9906	4534
686	9920	4519
687	9934	4505
688	9946	4489
689	9959	4474
690	9973	4459
691	9986	4444
692	9999	4429
693	10012	4414
694	10025	4399
695	10039	4385
696	10052	4370
697	10066	4355
698	10081	4341
699	10097	4327
700	10113	4313
701	10128	4299
702	10140	4284
703	10154	4269
704	10167	4254
705	10181	4239
706	10194	4225
707	10208	4210
708	10221	4195
709	10235	4180
710	10251	4167
711	10265	4152
712	10279	4137
713	10294	4123
714	10306	4108
715	10325	4095
716	10338	4080
717	10352	4065
718	10366	4051
719	10381	4037
720	10395	4022
721	10410	4008
722	10424	3993
723	10437	3978
724	10451	3964
725	10465	3949
726	10479	3935
727	10494	3921
728	10511	3907
729	10536	3897
