iter	RMSE
186	1.873548284
187	1.872829993
188	1.870884896
189	1.869935289
190	1.869675418
191	1.869478755
192	1.869191951
193	1.867549619
194	1.866084795
195	1.86582514
196	1.863639765
197	1.862292363
198	1.860174423
199	1.859879942
200	1.859644195
201	1.859390581
202	1.859160412
203	1.858859359
204	1.858570377
205	1.858330409
206	1.858037203
207	1.85772904
208	1.857410738
209	1.854851718
210	1.854549702
211	1.854267371
212	1.853977617
213	1.853694393
214	1.853429792
215	1.852202142
216	1.851936684
217	1.850480973
218	1.848847164
219	1.848539614
220	1.848225541
221	1.847926891
222	1.847623063
223	1.847320773
224	1.847029454
225	1.846729067
226	1.84643522
227	1.846118727
228	1.845832155
229	1.843988377
230	1.843689167
231	1.843402977
232	1.841917015
233	1.841605014
234	1.841303317
235	1.841016109
236	1.840722325
237	1.840422422
238	1.840124146
239	1.839835948
240	1.839542846
241	1.837459334
242	1.837163578
243	1.834873869
244	1.833140878
245	1.832842569
246	1.832541519
247	1.83225444
248	1.829916217
249	1.829616513
250	1.829324137
251	1.829037599
252	1.82874868
253	1.828457846
254	1.828163949
255	1.824809653
256	1.824518561
257	1.824230803
258	1.822652735
259	1.822359219
260	1.822076787
261	1.821784873
262	1.821502219
263	1.821223703
264	1.820936577
265	1.820647655
266	1.81776636
267	1.817481028
268	1.81719733
269	1.816912282
270	1.816633805
271	1.816355075
272	1.816069444
273	1.815791841
274	1.81551446
275	1.815234609
276	1.81495857
277	1.814684778
278	1.814404553
279	1.814128338
280	1.81385419
281	1.813578835
282	1.813309304
283	1.813037454
284	1.812767266
285	1.810556275
286	1.810284898
287	1.810014313
288	1.809745356
289	1.809477569
290	1.809204831
291	1.808940274
292	1.808675415
293	1.80840785
294	1.805988534
295	1.803386693
296	1.803119638
297	1.802856118
298	1.80207646
299	1.80181061
300	1.80012065
301	1.799855514
302	1.798090276
303	1.797826895
304	1.797563803
305	1.797300812
306	1.797037107
307	1.796774889
308	1.796512393
309	1.79625077
310	1.79598981
311	1.794008472
312	1.79070074
313	1.787662909
314	1.78740126
315	1.786062093
316	1.784617041
317	1.784352024
318	1.784087908
319	1.782746232
320	1.782486594
321	1.782223666
322	1.781965996
323	1.781707451
324	1.781450383
325	1.781193456
326	1.780938249
327	1.77971725
328	1.779459973
329	1.779204621
330	1.778950189
331	1.776846846
332	1.776590068
333	1.776334774
334	1.776079742
335	1.773203648
336	1.77294866
337	1.772695337
338	1.772442233
339	1.772188311
340	1.771935592
341	1.771683942
342	1.771431794
343	1.768819147
344	1.768566511
345	1.768313716
346	1.764692115
347	1.764436107
348	1.76418432
349	1.763934261
350	1.763683619
351	1.76343343
352	1.763183968
353	1.762932371
354	1.762684556
355	1.762436156
356	1.760479898
357	1.759090318
358	1.758841782
359	1.75859495
360	1.758348315
361	1.758101323
362	1.757854876
363	1.757606844
364	1.757361581
365	1.757116625
366	1.756870536
367	1.756626228
368	1.754581305
369	1.752364687
370	1.752118528
371	1.751872396
372	1.750023638
373	1.749778628
374	1.749534307
375	1.749290538
376	1.749047197
377	1.746326362
378	1.744801601
379	1.741885905
380	1.741639971
381	1.738821454
382	1.736622037
383	1.736372279
384	1.736127133
385	1.73372114
386	1.733473566
387	1.733229272
388	1.731283715
389	1.73103838
390	1.727644302
391	1.727397598
392	1.724787689
393	1.724543685
394	1.724299577
395	1.724056558
396	1.723815359
397	1.723574468
398	1.723333869
399	1.723093613
400	1.722853575
401	1.722610462
402	1.722371208
403	1.72212537
404	1.7218868
405	1.721645231
406	1.719853594
407	1.719611986
408	1.71937228
409	1.719134358
410	1.716114277
411	1.715873911
412	1.715635284
413	1.715396968
414	1.715156585
415	1.714920108
416	1.714684023
417	1.714447352
418	1.714211045
419	1.713975821
420	1.711267103
421	1.711029893
422	1.710789183
423	1.710550231
424	1.710315186
425	1.710081381
426	1.706983545
427	1.706747674
428	1.706509582
429	1.706276238
430	1.706039101
431	1.705806284
432	1.7038624
433	1.703628672
434	1.703395933
435	1.703162686
436	1.702930596
437	1.702699295
438	1.702467759
439	1.702231939
440	1.702000883
441	1.701768629
442	1.701538857
443	1.70130883
444	1.701079034
445	1.700848229
446	1.700615917
447	1.700381907
448	1.700148731
449	1.699920172
450	1.699690175
451	1.699462312
452	1.699234449
453	1.699005696
454	1.698778768
455	1.696604274
456	1.696376097
457	1.69327583
458	1.693043788
459	1.692815439
460	1.692587138
461	1.692360466
462	1.692131531
463	1.691905538
464	1.691679403
465	1.691451322
466	1.688063559
467	1.687832891
468	1.685387435
469	1.685159732
470	1.684933273
471	1.684703038
472	1.68447726
473	1.68424781
474	1.684021276
475	1.681974732
476	1.681748609
477	1.681523734
478	1.681299174
479	1.681075491
480	1.680851697
481	1.680628209
482	1.68040323
483	1.680180352
484	1.679957884
485	1.677743444
486	1.677517445
487	1.67729242
488	1.67706984
489	1.676847606
490	1.676625061
491	1.676396179
492	1.676172568
493	1.675949324
494	1.675727842
495	1.675505375
496	1.673203784
497	1.672979603
498	1.670669636
499	1.670448048
500	1.670227124
501	1.6700037
502	1.669783312
503	1.667785845
504	1.667563657
505	1.667342149
506	1.66485734
507	1.664629624
508	1.664408595
509	1.664187646
510	1.663966923
511	1.663747767
512	1.661427699
513	1.661204911
514	1.660980379
515	1.660761309
516	1.659354486
517	1.65913302
518	1.658911981
519	1.658693704
520	1.658474958
521	1.656152021
522	1.654428946
523	1.652768248
524	1.652548604
525	1.652329746
526	1.652110817
527	1.651893473
528	1.651675626
529	1.651453281
530	1.651231428
531	1.651015071
532	1.650793812
533	1.650573361
534	1.647690777
535	1.647469602
536	1.647252445
537	1.647035674
538	1.644590188
539	1.644368693
540	1.643313174
541	1.64309287
542	1.642877027
543	1.642661514
544	1.642444933
545	1.642228566
546	1.642012717
547	1.641795926
548	1.641577213
549	1.641358984
550	1.641143648
551	1.640926362
552	1.640711796
553	1.640498681
554	1.64028581
555	1.639282558
556	1.639066426
557	1.638852625
558	1.638639137
559	1.638426569
560	1.63821341
561	1.638000548
562	1.637784163
563	1.635072179
564	1.633870556
565	1.633656668
566	1.63344386
567	1.633231898
568	1.633016757
569	1.632803994
570	1.630426535
571	1.628443358
572	1.628228952
573	1.628015083
574	1.625520677
575	1.625307193
576	1.625095071
577	1.624883959
578	1.622589241
579	1.622373735
580	1.621181009
581	1.620968399
582	1.620757314
583	1.620546896
584	1.620335707
585	1.620126617
586	1.618498502
587	1.6182881
588	1.618078568
589	1.617869242
590	1.617660306
591	1.617452352
592	1.617244396
593	1.617034712
594	1.614368031
595	1.614157952
596	1.613949855
597	1.613742277
598	1.61353314
599	1.613325748
600	1.613118574
601	1.612912028
602	1.612009044
603	1.610759242
604	1.610551028
605	1.610342679
606	1.610136366
607	1.607631012
608	1.603296829
609	1.603088012
610	1.601789022
611	1.601581153
612	1.601374408
613	1.60116703
614	1.600961711
615	1.600756883
616	1.600548287
617	1.600337233
618	1.60012677
619	1.599922334
620	1.599717126
621	1.599512158
622	1.599307422
623	1.599103889
624	1.598900681
625	1.598697762
626	1.598495064
627	1.598287034
628	1.59808459
629	1.597882416
630	1.59768046
631	1.597478541
632	1.597276767
633	1.597075187
634	1.596873762
635	1.596669691
636	1.596468633
637	1.596264966
638	1.596064195
639	1.595858389
640	1.595653055
641	1.595451603
642	1.593373787
643	1.593171488
644	1.592970122
645	1.592769239
646	1.592568926
647	1.592367659
648	1.592166906
649	1.591964591
650	1.590650104
651	1.590449405
652	1.590249213
653	1.590052264
654	1.589852104
655	1.589647888
656	1.588088895
657	1.58788637
658	1.587686573
659	1.587486796
660	1.587287972
661	1.587085144
662	1.585202285
663	1.585000974
664	1.584798463
665	1.584599476
666	1.584400769
667	1.584200871
668	1.583999142
669	1.583800839
670	1.583602852
671	1.58340498
672	1.58320397
673	1.583003319
674	1.582804454
675	1.582607266
676	1.582408963
677	1.580186242
678	1.57803531
679	1.577833948
680	1.577635761
681	1.577438185
682	1.577239907
683	1.577041816
684	1.576844892
685	1.576648389
686	1.574263807
687	1.574066494
688	1.57386876
689	1.57142113
690	1.571223011
691	1.571023685
692	1.57082709
693	1.570630941
694	1.5704352
695	1.570239018
696	1.570043846
697	1.569847598
698	1.569651704
699	1.569460352
700	1.569264839
701	1.567639747
702	1.567444001
703	1.567249463
704	1.567055105
705	1.565543828
706	1.565347905
707	1.564171543
708	1.563974235
709	1.563779814
710	1.563585089
711	1.563390015
712	1.56319619
713	1.563002733
714	1.56280881
715	1.562615703
716	1.562418771
717	1.562224729
718	1.56203109
719	1.561837691
720	1.561645537
721	1.559300317
722	1.559105894
723	1.558913046
724	1.558720723
725	1.558524074
726	1.55833037
727	1.558135715
728	1.557148944
729	1.556957181
730	1.556761572
731	1.556570443
732	1.556379553
733	1.556188976
734	1.555996521
735	1.555806346
736	1.55561336
737	1.555423291
738	1.555232578
739	1.555042086
740	1.55320325
741	1.553012504
742	1.552822588
743	1.552632976
744	1.552439123
745	1.552247888
746	1.552058237
747	1.551868732
748	1.549280709
749	1.549089529
750	1.548895402
751	1.548702279
752	1.548513144
753	1.548323902
754	1.548133678
755	1.545742956
756	1.545550709
757	1.545359672
758	1.543546556
759	1.54214314
760	1.54113064
761	1.54093576
762	1.540742633
763	1.540552765
764	1.54036363
765	1.540171809
766	1.539982212
767	1.539793864
768	1.539605817
769	1.539416715
770	1.539228889
771	1.53904078
772	1.538853258
773	1.538664974
774	1.538478188
775	1.538288387
776	1.537276851
777	1.53708956
778	1.535490065
779	1.535302394
780	1.535114095
781	1.534924333
782	1.53473784
783	1.53455166
784	1.534363192
785	1.534177387
786	1.533986903
787	1.533798724
788	1.533612399
789	1.53342611
790	1.532468513
791	1.532281879
792	1.532095369
793	1.53190997
794	1.531724708
795	1.531537353
796	1.531352256
797	1.531164796
798	1.530980049
799	1.530795457
800	1.530611079
801	1.530426126
802	1.530241998
803	1.530057616
804	1.52987367
805	1.529690189
806	1.526613928
807	1.526428305
808	1.526239933
809	1.52605555
810	1.525871241
811	1.52344077
812	1.523256318
813	1.523071924
814	1.52084104
815	1.520655311
816	1.520470253
817	1.520285285
818	1.520101647
819	1.517436515
820	1.517251729
821	1.517064751
822	1.516880255
823	1.516696256
824	1.516513283
825	1.516329996
826	1.516146557
827	1.515962562
828	1.515779438
829	1.515596775
830	1.515415249
831	1.515233242
832	1.515049996
833	1.514868386
834	1.51468728
835	1.514506508
836	1.514325607
837	1.51414459
838	1.513962586
839	1.513780862
840	1.51360065
841	1.513418857
842	1.513238536
843	1.511531714
844	1.50906937
845	1.508886824
846	1.508705377
847	1.507994933
848	1.507812211
849	1.507631259
850	1.507451032
851	1.507269875
852	1.50709033
853	1.50691072
854	1.506731254
855	1.5065522
856	1.506370324
857	1.506190864
858	1.50600799
859	1.505829302
860	1.505650156
861	1.505470518
862	1.505291658
863	1.502423238
864	1.502243396
865	1.502064126
866	1.501884211
867	1.499710719
868	1.49952818
869	1.497711578
870	1.497531001
871	1.495584442
872	1.495403409
873	1.495223841
874	1.49504428
875	1.49486366
876	1.494685624
877	1.494506987
878	1.49432861
879	1.494149185
880	1.493970701
881	1.493792703
882	1.493615101
883	1.491861246
884	1.489625488
885	1.489446787
886	1.489268838
887	1.487926058
888	1.487748569
889	1.487571469
890	1.487393744
891	1.487216977
892	1.487038185
893	1.486860212
894	1.486678923
895	1.486503073
896	1.486326804
897	1.48420611
898	1.482503354
899	1.480271945
900	1.480092601
901	1.47991557
902	1.479738884
903	1.479562689
904	1.479385804
905	1.479209407
906	1.47903421
907	1.478858131
908	1.478683253
909	1.478506247
910	1.478331701
911	1.4781573
912	1.477978546
913	1.47780449
914	1.477630745
915	1.477454719
916	1.477281088
917	1.477106917
918	1.476933604
919	1.474865249
920	1.474690254
921	1.474516178
922	1.474342675
923	1.474168634
924	1.473995634
925	1.47382201
926	1.473648585
927	1.473473936
928	1.473300505
929	1.473127369
930	1.472954606
931	1.472782593
932	1.472610009
933	1.472438359
934	1.472266156
935	1.470147611
936	1.46997433
937	1.469800793
938	1.468349007
939	1.468175532
940	1.465700805
941	1.465525429
942	1.465350817
943	1.464354862
944	1.464181619
945	1.464008691
946	1.463836225
947	1.461963538
948	1.461789345
949	1.461616436
950	1.461441475
951	1.461269988
952	1.461098409
953	1.460927002
954	1.458571764
955	1.458394285
956	1.458221468
957	1.458047604
958	1.455663086
959	1.455490517
960	1.455318721
961	1.45514737
962	1.454973751
963	1.45480315
964	1.45463279
965	1.454462811
966	1.454291808
967	1.454121854
968	1.453952191
969	1.453779892
970	1.453609535
971	1.453440172
972	1.453271001
973	1.453097339
974	1.452926308
975	1.452755521
976	1.45258681
977	1.452416306
978	1.452247263
979	1.452077037
980	1.451908219
981	1.451739513
982	1.451571328
983	1.451402024
984	1.4512335
985	1.450053236
986	1.449883844
987	1.44781484
988	1.447646163
989	1.447477299
990	1.447309468
991	1.447141763
992	1.445102249
993	1.44493116
994	1.442918097
995	1.442749029
996	1.442580257
997	1.442412282
998	1.442243999
999	1.440447095
